[2025-10-14T23:12:25.759+0530][8.612s][info][gc,start    ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[2025-10-14T23:12:25.759+0530][8.612s][info][gc,task     ] GC(10) Using 10 workers of 10 for evacuation
[2025-10-14T23:12:25.761+0530][8.614s][info][gc,phases   ] GC(10)   Pre Evacuate Collection Set: 0.19ms
[2025-10-14T23:12:25.761+0530][8.614s][info][gc,phases   ] GC(10)   Merge Heap Roots: 0.13ms
[2025-10-14T23:12:25.761+0530][8.614s][info][gc,phases   ] GC(10)   Evacuate Collection Set: 0.90ms
[2025-10-14T23:12:25.761+0530][8.614s][info][gc,phases   ] GC(10)   Post Evacuate Collection Set: 0.52ms
[2025-10-14T23:12:25.761+0530][8.614s][info][gc,phases   ] GC(10)   Other: 0.10ms
[2025-10-14T23:12:25.761+0530][8.614s][info][gc,heap     ] GC(10) Eden regions: 306->0(306)
[2025-10-14T23:12:25.761+0530][8.614s][info][gc,heap     ] GC(10) Survivor regions: 1->1(39)
[2025-10-14T23:12:25.761+0530][8.614s][info][gc,heap     ] GC(10) Old regions: 0->0
[2025-10-14T23:12:25.761+0530][8.614s][info][gc,heap     ] GC(10) Humongous regions: 0->0
[2025-10-14T23:12:25.761+0530][8.614s][info][gc,metaspace] GC(10) Metaspace: 295K(448K)->295K(448K) NonClass: 279K(320K)->279K(320K) Class: 16K(128K)->16K(128K)
[2025-10-14T23:12:25.761+0530][8.614s][info][gc          ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 306M->0M(512M) 2.220ms
[2025-10-14T23:12:25.761+0530][8.614s][info][gc,cpu      ] GC(10) User=0.00s Sys=0.02s Real=0.00s
[2025-10-14T23:12:27.118+0530][9.971s][info][gc,start    ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[2025-10-14T23:12:27.118+0530][9.971s][info][gc,task     ] GC(11) Using 10 workers of 10 for evacuation
[2025-10-14T23:12:27.121+0530][9.973s][info][gc,phases   ] GC(11)   Pre Evacuate Collection Set: 0.29ms
[2025-10-14T23:12:27.121+0530][9.973s][info][gc,phases   ] GC(11)   Merge Heap Roots: 0.18ms
[2025-10-14T23:12:27.121+0530][9.973s][info][gc,phases   ] GC(11)   Evacuate Collection Set: 0.84ms
[2025-10-14T23:12:27.121+0530][9.973s][info][gc,phases   ] GC(11)   Post Evacuate Collection Set: 0.54ms
[2025-10-14T23:12:27.121+0530][9.973s][info][gc,phases   ] GC(11)   Other: 0.12ms
[2025-10-14T23:12:27.121+0530][9.973s][info][gc,heap     ] GC(11) Eden regions: 306->0(306)
[2025-10-14T23:12:27.121+0530][9.973s][info][gc,heap     ] GC(11) Survivor regions: 1->1(39)
[2025-10-14T23:12:27.121+0530][9.973s][info][gc,heap     ] GC(11) Old regions: 0->0
